 A(*, *)
 matr[           7 ,           21 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           22 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           23 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           24 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           25 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           26 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           27 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           28 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           29 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           30 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           31 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           32 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           33 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           34 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           35 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           36 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           37 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           38 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           39 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           40 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,            1 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,            2 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           8 ,            3 ] =                (205.14483667026812,0.0000000000000000)
 matr[           8 ,            4 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,            5 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           8 ,            6 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,            7 ] =                (205.14483667026812,0.0000000000000000)
 matr[           8 ,            8 ] =               (-421.40539443360962,0.0000000000000000)
 matr[           8 ,            9 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           10 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           11 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           12 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           13 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           14 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           15 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           16 ] =                (5.0000000000000000,0.0000000000000000)
 matr[           8 ,           17 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           18 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           19 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           20 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           21 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           22 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           23 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           24 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           25 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           26 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           27 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           28 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           29 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           30 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           31 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           32 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           33 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           34 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           35 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           36 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           37 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           38 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           39 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           8 ,           40 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,            1 ] =                (5.0000000000000000,0.0000000000000000)
 matr[           9 ,            2 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,            3 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,            4 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,            5 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,            6 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,            7 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,            8 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,            9 ] =               (-873.48872208024727,0.0000000000000000)
 matr[           9 ,           10 ] =                (34.031249016523368,0.0000000000000000)
 matr[           9 ,           11 ] =                (5956288.0353646530,0.0000000000000000)
 matr[           9 ,           12 ] =               (-819.45747306372391,0.0000000000000000)
 matr[           9 ,           13 ] =               (-819.45747306372391,0.0000000000000000)
 matr[           9 ,           14 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           15 ] =                (819.45747306372391,0.0000000000000000)
 matr[           9 ,           16 ] =               (-819.45747306372391,0.0000000000000000)
 matr[           9 ,           17 ] =                (15.000000000000000,0.0000000000000000)
 matr[           9 ,           18 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           19 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           20 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           21 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           22 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           23 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           24 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           25 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           26 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           27 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           28 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           29 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           30 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           31 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           32 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           33 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           34 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           35 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           36 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           37 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           38 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           39 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           9 ,           40 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,            1 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,            2 ] =                (5.0000000000000000,0.0000000000000000)
 matr[          10 ,            3 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,            4 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,            5 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,            6 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,            7 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,            8 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,            9 ] =                (34.031249016523368,0.0000000000000000)
 matr[          10 ,           10 ] =               (-873.48872208024727,0.0000000000000000)
 matr[          10 ,           11 ] =                (5956288.0353646530,0.0000000000000000)
 matr[          10 ,           12 ] =               (-819.45747306372391,0.0000000000000000)
 matr[          10 ,           13 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,           14 ] =               (-819.45747306372391,0.0000000000000000)
 matr[          10 ,           15 ] =                (819.45747306372391,0.0000000000000000)
 matr[          10 ,           16 ] =               (-819.45747306372391,0.0000000000000000)
 matr[          10 ,           17 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,           18 ] =                (15.000000000000000,0.0000000000000000)
 matr[          10 ,           19 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,           20 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,           21 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,           22 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,           23 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,           24 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,           25 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,           26 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,           27 ] =                (0.0000000000000000,0.0000000000000000)
 matr[          10 ,           28 ] =                (0.0000000000000000,0.0000000000000000)
